Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
BayWa,1.195,16.465,0.0535,6.558,1730,Consumer Discretionary,Specialty Stores,Europe,Germany,Germany,,Klaus Lutz,http://www.forbes.com/companies/baywa/,0.00815797499237573,0.0032493167324628
Derwent London,5.071,0.314,1.1706,7.463,1731,Financials,Real Estate,Europe,United Kingdom,United Kingdom,,Keiji Tokuue,http://www.forbes.com/companies/derwent-london/,0.15685381213989,3.72802547770701
Hanergy Thin Film Power Group,21.028,0.363,-1.578,1.609,1732,Utilities,Electric Utilities,Asia,Hong Kong,Hong Kong,,Ming Dai,http://www.forbes.com/companies/hanergy-thin-film-power-group/,-0.980733374766936,-4.34710743801653
Yes Bank,5.535,2.228,0.3267,21.755,1732,Financials,Regional Banks,Asia,India,India,,Rana Kapoor,http://www.forbes.com/companies/yes-bank/,0.0150172374166858,0.146633752244165
Nanto Bank,0.789,0.615,0.0748,46.737,1734,Financials,Regional Banks,Asia,Japan,Japan,,Yasuo Ueno,http://www.forbes.com/companies/nanto-bank/,0.00160044504354152,0.121626016260163
"Banco del Caribe, C.A. Banco Universal",0.082,2.017,0.502,14.716,1735,Financials,Regional Banks,South America,Venezuela,Venezuela,,Juan Dao,http://www.forbes.com/companies/banco-del-caribe-ca-banco-universal/,0.0341125305789617,0.248884481903818
WPG Holdings,1.771,16.235,0.1707,5.451,1735,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Fu Yeh,http://www.forbes.com/companies/wpg-holdings/,0.0313153549807375,0.0105143209116107
X5 Retail Group,5.539,13.129,0.2327,5.612,1737,Consumer Staples,Food Retail,Asia,Russia,Russia,,Igor Shekhterman,http://www.forbes.com/companies/x5-retail-group/,0.0414647184604419,0.0177241221722904
Focus Media Information Technology,20.856,1.324,0.0005,0.098,1738,Information Technology,Computer Hardware,Asia,China,China,,Xian Yi,http://www.forbes.com/companies/focus-media-information-technology/,0.00510204081632653,0.000377643504531722
Orkla,8.502,4.113,0.4103,6.128,1739,Industrials,Conglomerates,Europe,Norway,Norway,,Peter Ruzicka,http://www.forbes.com/companies/orkla/,0.0669549608355091,0.09975686846584
Angang Steel,4.641,8.371,-0.72,13.657,1740,Materials,Iron & Steel,Asia,China,China,,Xiao Zhang,http://www.forbes.com/companies/angang-steel/,-0.0527202167386688,-0.0860112292438179
Desarrolladora Homex,0.177,0.024,1.1601,0.84,1741,Industrials,Construction Services,North America,Mexico,Mexico,,Gerardo Nicolás Gutiérrez,http://www.forbes.com/companies/desarrolladora-homex/,1.38107142857143,48.3375
Endo,7.548,3.269,-1.5086,19.35,1741,Health Care,Pharmaceuticals,Europe,Ireland,Ireland,,Rajiv Silva,http://www.forbes.com/companies/endo/,-0.0779638242894057,-0.461486693178342
Hyakugo Bank,1.004,0.668,0.1139,46.033,1743,Financials,Regional Banks,Asia,Japan,Japan,,Tsuyoshi Ueda,http://www.forbes.com/companies/hyakugo-bank/,0.00247431190667565,0.170508982035928
People's United Financial,5,1.407,0.263,39.181,1743,Financials,Thrifts & Mortgage Finance,North America,United States,Connecticut,Connecticut,John Barnes,http://www.forbes.com/companies/peoples-united-financial/,0.00671243715065976,0.186922530206112
Far Eastern New Century,4.117,6.864,0.253,15.793,1745,Materials,Diversified Chemicals,Asia,Taiwan,Taiwan,,Hsu Hsu,http://www.forbes.com/companies/far-eastern-new-century/,0.0160197555879187,0.0368589743589744
Liberbank,1.174,1.253,0.1353,45.772,1745,Financials,Regional Banks,Europe,Spain,Spain,,Manuel Menéndez,http://www.forbes.com/companies/liberbank/,0.00295595560604737,0.107980845969673
Harman International,6.28,6.546,0.3435,5.823,1747,Consumer Discretionary,Consumer Electronics,North America,United States,Connecticut,Connecticut,Dinesh Paliwal,http://www.forbes.com/companies/harman-international/,0.0589902112313241,0.0524747937671861
Pacific Corp,12.095,5.002,0.2301,5.243,1747,,,Asia,South Korea,South Korea,,Jung-Ki Baek,http://www.forbes.com/companies/pacific-corp/,0.0438870875452985,0.0460015993602559
Microchip Technology,10.626,2.159,0.3562,5.447,1749,Information Technology,Semiconductors,North America,United States,Arizona,Arizona,Steve Sanghi,http://www.forbes.com/companies/microchip-technology/,0.0653937947494034,0.164983788791107
First Pacific,2.661,6.437,0.0851,17.593,1750,Financials,Investment Services,Asia,Hong Kong,Hong Kong,,Victorico Vargas,http://www.forbes.com/companies/first-pacific/,0.00483715113965782,0.0132204443063539
Ogaki Kyoritsu Bank,1.132,0.957,0.1376,44.94,1750,Financials,Regional Banks,Asia,Japan,Japan,,Takashi Tsuchiya,http://www.forbes.com/companies/ogaki-kyoritsu-bank/,0.00306186025812194,0.143782654127482
Taiwan Business Bank,1.501,0.971,0.161,44.932,1752,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Rueen-Fong Chu,http://www.forbes.com/companies/taiwan-business-bank/,0.00358319237959583,0.165808444902163
Youngor Group,5.705,2.607,0.7156,9.662,1752,Consumer Discretionary,Apparel/Accessories,Asia,China,China,,Ping Qian,http://www.forbes.com/companies/youngor-group/,0.0740633409232043,0.274491752972766
Travis Perkins,6.581,9.078,0.2561,7.122,1754,Consumer Discretionary,Home Improvement Retail,Europe,United Kingdom,United Kingdom,,John Carter,http://www.forbes.com/companies/travis-perkins/,0.03595900028082,0.0282110597047808
Senshu Ikeda Holdings,1.098,0.865,0.1498,44.816,1755,Financials,Regional Banks,Asia,Japan,Japan,,Kazuyuki Kataoka,http://www.forbes.com/companies/senshu-ikeda-holdings/,0.00334255622991789,0.173179190751445
Virgin Money Holdings,2.281,1.387,0.1699,44.555,1756,Financials,Regional Banks,Europe,United Kingdom,United Kingdom,,Jayne-Anne Gadhia,http://www.forbes.com/companies/virgin-money-holdings/,0.00381326450454494,0.122494592645999
Banco de Chile,3.664,3.878,0.1473,44.162,1757,Financials,Regional Banks,South America,Chile,Chile,,Arturo Quiroz,http://www.forbes.com/companies/banco-de-chile/,0.0033354467641864,0.0379834966477566
Damac Properties,4.694,2.149,1.1089,6.384,1757,Financials,Real Estate,Asia,United Arab Emirates,United Arab Emirates,,Ziad El-Chaar,http://www.forbes.com/companies/damac-properties/,0.173699874686717,0.516007445323406
Garmin,8.103,2.82,0.4562,4.499,1759,Consumer Discretionary,Consumer Electronics,North America,United States,Kansas,Kansas,Clifton Pemble,http://www.forbes.com/companies/garmin/,0.101400311180262,0.16177304964539
IMS Health Holdings,8.817,2.921,0.417,7.459,1759,Information Technology,Computer Services,North America,United States,,,Ari Bousbib,http://www.forbes.com/companies/ims-health-holdings/,0.0559056173749832,0.142759328996919
Heilan Home,7.542,2.48,0.4903,3.248,1761,Consumer Discretionary,Apparel/Footwear Retail,Asia,China,China,,Dong Gu,http://www.forbes.com/companies/heilan-home/,0.150954433497537,0.197701612903226
MGIC Investment,2.507,1.029,1.1081,5.773,1761,Financials,Diversified Insurance,North America,United States,Wisconsin,Wisconsin,Patrick Sinks,http://www.forbes.com/companies/mgic-investment/,0.191945262428547,1.07687074829932
Shanghai Chengtou Holding,6.814,1.181,0.5747,6.748,1761,Utilities,Diversified Utilities,Asia,China,China,,Hong An,http://www.forbes.com/companies/shanghai-chengtou-holding/,0.0851659751037344,0.48662150719729
Two Harbors Investment,2.701,0.828,0.4922,14.601,1761,Financials,Real Estate,North America,United States,Minnesota,Minnesota,Thomas Siering,http://www.forbes.com/companies/two-harbors-investment/,0.0337100198616533,0.594444444444445
NII Holdings,0.557,1.714,1.1076,2.73,1765,Telecommunication Services,Telecommunications services,North America,United States,Virginia,Virginia,Steven Shindler,http://www.forbes.com/companies/nii-holdings/,0.405714285714286,0.646207701283547
Thai Oil,3.872,8.566,0.3554,5.347,1765,Energy,Oil & Gas Operations,Asia,Thailand,Thailand,,Atikom Terbsiri,http://www.forbes.com/companies/thai-oil/,0.0664671778567421,0.041489610086388
Israel Corp,1.567,5.407,0.4433,10.787,1767,Financials,Investment Services,Asia,Israel,Israel,,Avisar Paz,http://www.forbes.com/companies/israel-corp/,0.0410957634189302,0.081986314037359
ST Engineering,7.803,4.606,0.3847,5.825,1767,Industrials,Aerospace & Defense,Asia,Singapore,Singapore,,Sy Chong,http://www.forbes.com/companies/st-engineering/,0.0660429184549356,0.0835214937038645
Tingyi Holding,6.494,9.103,0.2564,8.482,1769,Consumer Staples,Food Processing,Asia,China,China,,Hong Wei,http://www.forbes.com/companies/tingyi-holding/,0.030228719641594,0.02816653850379
Fortune Brands Home & Security,8.714,4.735,0.3307,4.943,1770,,,North America,United States,Illinois,Illinois,Christopher Klein,http://www.forbes.com/companies/fortune-brands-home-security/,0.06690269067368,0.0698416050686378
Performance Food Group,2.595,15.27,0.0565,3.412,1770,,,North America,United States,Virginia,Virginia,George Holm,http://www.forbes.com/companies/performance-food-group/,0.0165592028135991,0.00370006548788474
Vereit,8.007,1.551,-0.3164,17.406,1770,Financials,Real Estate,North America,United States,,,Glenn Rufrano,http://www.forbes.com/companies/vereit/,-0.0181776398942893,-0.203997421018698
BOK Financial,4.066,1.395,0.2852,31.654,1773,Financials,Regional Banks,North America,United States,Oklahoma,Oklahoma,Steven Bradshaw,http://www.forbes.com/companies/bok-financial/,0.00900991975737664,0.204444444444444
JSW Steel,4.879,8.666,-0.1326,13.012,1773,Materials,Iron & Steel,Asia,India,India,,Sajjan Jindal,http://www.forbes.com/companies/jsw-steel/,-0.0101905932984937,-0.0153011770136164
Daishi Bank,1.303,0.634,0.124,43.312,1775,Financials,Regional Banks,Asia,Japan,Japan,,Fujio Namiki,http://www.forbes.com/companies/daishi-bank/,0.00286294791281862,0.195583596214511
Tokyo TY Financial Group,0.807,0.647,0.072,43.249,1776,Financials,Regional Banks,Asia,Japan,Japan,,Isao Sakai,http://www.forbes.com/companies/tokyo-ty-financial-group/,0.00166477837637864,0.1112828438949
Pembina Pipeline,11.244,3.623,0.3173,9.312,1777,Energy,Oil & Gas Operations,North America,Canada,Canada,,Michael Dilger,http://www.forbes.com/companies/pembina-pipeline/,0.0340743127147766,0.0875793541264146
VeriSign,9.651,1.059,0.3752,2.358,1778,Information Technology,Software & Programming,North America,United States,Virginia,Virginia,D James Bidzos,http://www.forbes.com/companies/verisign/,0.159117896522477,0.354296506137866
Kingdom Holding,12.234,0.537,0.1885,11.454,1779,Financials,Investment Services,Asia,Saudi Arabia,Saudi Arabia,,"Alwaleed Al-Saud,",http://www.forbes.com/companies/kingdom-holding/,0.0164571328793435,0.351024208566108
Jones Lang LaSalle,5.449,5.966,0.4384,6.205,1780,Financials,Real Estate,North America,United States,Illinois,Illinois,Colin Dyer,http://www.forbes.com/companies/jones-lang-lasalle/,0.0706526994359388,0.0734830707341602
Shiga Bank,1.165,0.739,0.1445,42.03,1781,Financials,Regional Banks,Asia,Japan,Japan,,Yoshio Daido,http://www.forbes.com/companies/shiga-bank/,0.00343802046157507,0.19553450608931
Orient,3.616,1.738,0.1688,41.867,1782,Financials,Consumer Financial Services,Asia,Japan,Japan,,Masayuki Saito,http://www.forbes.com/companies/orient/,0.0040318150333198,0.0971231300345224
Catcher Technology,5.568,2.595,0.7911,5.224,1783,Materials,Aluminum,Asia,Taiwan,Taiwan,,Shui Hung,http://www.forbes.com/companies/catcher-technology/,0.151435681470138,0.30485549132948
Amdocs,8.509,3.658,0.415,5.054,1784,Information Technology,Software & Programming,North America,United States,Missouri,Missouri,Robert Minicucci,http://www.forbes.com/companies/amdocs/,0.0821131776810447,0.113449972662657
Saudi Investment Bank,2.441,0.875,0.3125,25.73,1784,Financials,Investment Services,Asia,Saudi Arabia,Saudi Arabia,,Musaed Al-Mineefi,http://www.forbes.com/companies/saudi-investment-bank/,0.0121453556160124,0.357142857142857
Segro,4.389,0.38,1.0427,8.202,1786,Financials,Real Estate,Europe,United Kingdom,United Kingdom,,David Sleath,http://www.forbes.com/companies/segro/,0.127127529870763,2.74394736842105
Halyk Bank,1.075,1.648,0.5387,13.08,1787,Financials,Regional Banks,Asia,Kazakhstan,Kazakhstan,,Umut Shayakhmetova,http://www.forbes.com/companies/halyk-bank/,0.0411850152905199,0.326881067961165
Credito Emiliano,2.385,1.691,0.1843,40.688,1788,Financials,Regional Banks,Europe,Italy,Italy,,Adolfo Bizzocchi,http://www.forbes.com/companies/credito-emiliano/,0.00452959103421156,0.108988764044944
Tongling Nonferrous Metals,4.123,14.712,0.029,7.2,1788,Materials,Diversified Metals & Mining,Asia,China,China,,Xiuming Song,http://www.forbes.com/companies/tongling-nonferrous-metals/,0.00402777777777778,0.00197117998912452
San-In Godo Bank,1.084,0.726,0.1014,40.39,1790,Financials,Regional Banks,Asia,Japan,Japan,,Ichiro Kubota,http://www.forbes.com/companies/san-in-godo-bank/,0.00251052240653627,0.139669421487603
Bank of Qingdao,2.512,1.514,0.2892,28.834,1791,Financials,Regional Banks,Asia,China,China,,Shao Guo,http://www.forbes.com/companies/bank-of-qingdao/,0.0100298258999792,0.191017173051519
First Niagara Financial,3.796,1.538,0.2208,40.024,1792,Financials,Thrifts & Mortgage Finance,North America,United States,New York,New York,Gary Crosby,http://www.forbes.com/companies/first-niagara-financial/,0.00551668998600839,0.143563068920676
Office Depot,3.404,14.485,0.008,6.442,1792,Consumer Discretionary,Specialty Stores,North America,United States,Florida,Florida,Roland Smith,http://www.forbes.com/companies/office-depot/,0.00124185035703198,0.000552295478080773
Hyakujushi Bank,0.941,0.563,0.0893,39.336,1794,Financials,Regional Banks,Asia,Japan,Japan,,Katsuhiko Takesaki,http://www.forbes.com/companies/hyakujushi-bank/,0.0022701850721985,0.158614564831261
Chinese Estates,4.702,0.199,0.9967,8.136,1795,Financials,Real Estate,Asia,Hong Kong,Hong Kong,,Sze Chan,http://www.forbes.com/companies/chinese-estates/,0.122504916420846,5.00854271356784
Admiral Group plc,7.583,1.375,0.4583,4.899,1796,Financials,Property & Casualty Insurance,Europe,United Kingdom,United Kingdom,,Henry Allan Engelhardt,http://www.forbes.com/companies/admiral-group/,0.0935497040212288,0.333309090909091
Umicore,5.801,10.754,0.1877,4.444,1796,Materials,Diversified Metals & Mining,Europe,Belgium,Belgium,,Marc Grynberg,http://www.forbes.com/companies/umicore/,0.0422367236723672,0.0174539706155849
USG,4.185,3.802,0.991,4.736,1798,Materials,Construction Materials,North America,United States,Illinois,Illinois,James Metcalf,http://www.forbes.com/companies/usg/,0.209248310810811,0.260652288269332
Banca Popolare di Sondrio,1.695,1.572,0.1434,38.605,1799,Financials,Regional Banks,Europe,Italy,Italy,,Mario Pedranzini,http://www.forbes.com/companies/banca-popolare-di-sondrio/,0.00371454474808963,0.0912213740458015
Habib Bank,2.439,1.727,0.3417,21.23,1800,Financials,Regional Banks,Asia,Pakistan,Pakistan,,Nauman Dar,http://www.forbes.com/companies/habib-bank/,0.0160951483749411,0.197857556456283
Lazard,4.868,2.437,0.9864,4.487,1800,,,North America,Bermuda,Bermuda,,Kenneth Jacobs,http://www.forbes.com/companies/lazard-ltd/,0.21983507911745,0.40475995075913
Molina Healthcare,3.681,14.073,0.1434,6.576,1800,Health Care,Managed Health Care,North America,United States,California,California,J. Molina,http://www.forbes.com/companies/molina-healthcare/,0.0218065693430657,0.0101897250053294
Basler Kantonalbank,2.072,0.804,0.1132,38.475,1803,Financials,Regional Banks,Europe,Switzerland,Switzerland,,Guy Lachappelle,http://www.forbes.com/companies/basler-kantonalbank/,0.00294217024041585,0.140796019900498
Dufry AG,7.071,6.376,-0.0824,10.349,1803,Consumer Discretionary,Specialty Stores,Europe,Switzerland,Switzerland,,Julián González,http://www.forbes.com/companies/dufry-ag/,-0.00796212194414919,-0.0129234629861982
JC Penney,2.925,12.625,-0.573,9.442,1803,Consumer Discretionary,Department Stores,North America,United States,Texas,Texas,Marvin Ellison,http://www.forbes.com/companies/jc-penney/,-0.0606862952764245,-0.0453861386138614
Saudi Arabian Fertilizers,7.194,0.873,0.4869,2.481,1803,Materials,Specialized Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef Al-Benyan,http://www.forbes.com/companies/saudi-arabian-fertilizers/,0.196251511487304,0.557731958762887
WellCare Health Plans,4.212,13.89,0.1186,5.194,1807,Health Care,Managed Health Care,North America,United States,Florida,Florida,Kenneth Burdick,http://www.forbes.com/companies/wellcare-health-plans/,0.0228340392760878,0.00853851691864651
Great Portland Estates,3.618,0.197,0.9771,5.487,1808,Financials,Real Estate,Europe,United Kingdom,United Kingdom,,Toby Courtauld,http://www.forbes.com/companies/great-portland-estates/,0.178075451066156,4.95989847715736
Vietin Bank,2.806,2.264,0.2599,34.667,1808,Financials,Regional Banks,Asia,Vietnam,Vietnam,,Tho Le,http://www.forbes.com/companies/vietin-bank/,0.0074970432976606,0.114796819787986
Chicago Bridge & Iron,4.306,12.93,-0.5044,9.202,1810,Industrials,Construction Services,Europe,Netherlands,Netherlands,,Philip Asherman,http://www.forbes.com/companies/chicago-bridge-iron/,-0.0548141708324277,-0.0390100541376643
"NVR,",6.596,5.155,0.3829,2.515,1810,Industrials,Construction Services,North America,United States,Virginia,Virginia,Paul Saville,http://www.forbes.com/companies/nvr/,0.152246520874751,0.0742774005819593
FCC,3.242,7.181,-0.0513,13.972,1812,Industrials,Construction Services,Europe,Spain,Spain,,Carlos Jarque Uribe,http://www.forbes.com/companies/fcc/,-0.00367162897223017,-0.00714385183122128
Keiyo Bank,1.073,0.56,0.111,37.879,1813,Financials,Regional Banks,Asia,Japan,Japan,,Nobuo Kojima,http://www.forbes.com/companies/keiyo-bank/,0.0029303835898519,0.198214285714286
Mettler-Toledo International,9.826,2.395,0.3528,2.018,1814,,,North America,United States,Ohio,Ohio,Olivier Filliol,http://www.forbes.com/companies/mettler-toledo-international/,0.174826560951437,0.147306889352818
CNO Financial Group,3.486,3.909,0.2707,31.125,1815,Financials,Life & Health Insurance,North America,United States,Indiana,Indiana,Ed Bonach,http://www.forbes.com/companies/cno-financial-group/,0.00869718875502008,0.0692504476848299
UCO Bank,0.66,3.222,-0.1363,37.286,1816,Financials,Regional Banks,Asia,India,India,,Ravi Takkar,http://www.forbes.com/companies/uco-bank/,-0.00365552754385024,-0.0423029174425823
Guaranty Trust Bank,2.255,1.472,0.4908,13.343,1817,Financials,Regional Banks,Africa,Nigeria,Nigeria,,J K Agbaje,http://www.forbes.com/companies/guaranty-trust-bank/,0.0367833320842389,0.333423913043478
Total System Services,9.342,2.784,0.3616,3.908,1817,Consumer Discretionary,Business & Personal Services,North America,United States,Georgia,Georgia,M. Woods,http://www.forbes.com/companies/total-system-services/,0.0925281473899693,0.129885057471264
Nippon Paper Industries,2.264,8.44,0.0818,12.292,1819,,,Asia,Japan,Japan,,Yoshio Haga,http://www.forbes.com/companies/nippon-paper-industries/,0.00665473478685324,0.00969194312796209
Cullen/Frost Bankers,3.824,1.077,0.2784,28.687,1820,Financials,Regional Banks,North America,United States,Texas,Texas,Phillip Green,http://www.forbes.com/companies/cullen-frost-bankers/,0.00970474430926901,0.25849582172702
Shanghai International Airport,8.402,0.979,0.4028,3.948,1820,Industrials,Other Transportation,Asia,China,China,,Shun Yuan,http://www.forbes.com/companies/shanghai-international-airport-co-ltd/,0.102026342451874,0.41144024514811
Bank Aljazira,1.489,0.789,0.3842,17.518,1822,Financials,Regional Banks,Asia,Saudi Arabia,Saudi Arabia,,Nabil Al-Hoshan,http://www.forbes.com/companies/bank-aljazira/,0.0219317273661377,0.486945500633714
Kiyo Bank,0.873,0.657,0.1368,36.725,1822,Financials,Regional Banks,Asia,Japan,Japan,,Hiroomi Katayama,http://www.forbes.com/companies/kiyo-bank/,0.00372498298162015,0.208219178082192
Ashtead Group,6.456,3.68,0.5674,6.655,1824,,,Europe,United Kingdom,United Kingdom,,Geoffrey Drabble,http://www.forbes.com/companies/ashtead-group/,0.085259203606311,0.154184782608696
Coty,9.948,4.267,0.3112,6.512,1824,Consumer Staples,Household/Personal Care,North America,United States,New York,New York,Elio Leoni-Sceti,http://www.forbes.com/companies/coty/,0.0477886977886978,0.0729318022029529
KWG Property Holding,1.974,1.326,0.5426,12.271,1824,Financials,Consumer Financial Services,Asia,Hong Kong,Hong Kong,,Jian Kong,http://www.forbes.com/companies/kwg-property-holding/,0.0442180751365007,0.40920060331825
RiseSun Real Estate Development,4.741,3.695,0.4577,14.363,1824,,,Asia,China,China,,Shan Liu,http://www.forbes.com/companies/risesun-real-estate-development/,0.0318666016848848,0.123870094722598
Macerich,11.47,1.272,0.0857,11.259,1828,Financials,Real Estate,North America,United States,California,California,Arthur Coppola,http://www.forbes.com/companies/macerich/,0.00761168842703615,0.067374213836478
Techtronic Industries,6.951,5.038,0.3544,4.803,1828,Consumer Staples,Household/Personal Care,Asia,Hong Kong,Hong Kong,,Joseph Galli,http://www.forbes.com/companies/techtronic-industries-co/,0.0737872163231314,0.0703453751488686
Banca Transilvania,2.012,0.881,0.6109,11.407,1830,Financials,Regional Banks,,Romania,Romania,,Omer Tetik,http://www.forbes.com/companies/banca-transilvania/,0.0535548347505917,0.693416572077185
Hokkoku Bank,0.862,0.623,0.0441,36.533,1830,Financials,Regional Banks,Asia,Japan,Japan,,Tateki Ataka,http://www.forbes.com/companies/hokkoku-bank/,0.00120712780226097,0.0707865168539326
President Chain Store,7.481,6.471,0.2595,2.721,1832,Consumer Staples,Food Retail,Asia,Taiwan,Taiwan,,Jui Chen,http://www.forbes.com/companies/president-chain-store/,0.0953693495038589,0.0401019935095039
Xinjiang Goldwind Science & Technology,6.182,4.739,0.4533,8.096,1833,Industrials,Electrical Equipment,Asia,China,China,,Meng Wang,http://www.forbes.com/companies/xinjiang-goldwind-science-technology/,0.0559906126482213,0.0956530913694872
Allahabad Bank,0.543,3.577,0.1062,36.381,1834,Financials,Regional Banks,Asia,India,India,,Rakesh Sethi,http://www.forbes.com/companies/allahabad-bank/,0.00291910612682444,0.0296896840928152
Korea Investment Holdings,2.421,1.242,0.2865,26.882,1834,Financials,Investment Services,Asia,South Korea,South Korea,,Nam-goo Kim,http://www.forbes.com/companies/korea-investment-holdings-co/,0.0106576891600327,0.230676328502415
Leshi Internet Information & Technology Corp. Beijing,16.808,2.424,0.0931,2.759,1834,,,Asia,China,China,,Yue Jia,http://www.forbes.com/companies/leshi-internet-information-technology-corp-beijing/,0.0337441101848496,0.0384075907590759
Jacobs Engineering,5.363,11.776,0.2494,7.616,1837,Industrials,Construction Services,North America,United States,California,California,Steven Demetriou,http://www.forbes.com/companies/jacobs-engineering/,0.0327468487394958,0.0211786684782609
SYNNEX,3.3,13.262,0.2064,4.184,1837,Information Technology,Computer Services,North America,United States,California,California,Kevin Murai,http://www.forbes.com/companies/synnex/,0.0493307839388145,0.0155632634595084
Hanwa,0.952,13.234,0.0955,5.32,1839,Materials,Diversified Metals & Mining,Asia,Japan,Japan,,Shuji Kita,http://www.forbes.com/companies/hanwa/,0.0179511278195489,0.00721626114553423
Banque nationale de Belgique,1.343,1.742,0.9028,,1840,Financials,Regional Banks,Europe,Belgium,Belgium,,Luc Coene,http://www.forbes.com/companies/banque-nationale-de-belgique/,,0.518254879448909
Grupo Galicia,3.89,4.185,0.4685,12.495,1840,Financials,Regional Banks,South America,Argentina,Argentina,,Pedro Richards,http://www.forbes.com/companies/grupo-galicia/,0.0374949979991997,0.11194743130227
Valspar,8.462,4.264,0.348,4.175,1842,Materials,Specialized Chemicals,North America,United States,Minnesota,Minnesota,Gary Hendrickson,http://www.forbes.com/companies/valspar/,0.0833532934131737,0.0816135084427767
Joint Stock Commercial Bank for Foreign Trade of Vietnam,5.464,1.782,0.2424,29.993,1843,Financials,Regional Banks,Asia,Vietnam,Vietnam,,Dung Pham,http://www.forbes.com/companies/joint-stock-commercial-bank-for-foreign-trade-of-vietnam/,0.00808188577334711,0.136026936026936
Banque Centrale Populaire,4.11,2.114,0.2574,33.161,1844,Financials,Regional Banks,Africa,Morocco,Morocco,,Mohamed Benchaaboun,http://www.forbes.com/companies/banque-centrale-populaire/,0.00776213021320226,0.121759697256386
Musashino Bank,0.918,0.592,0.1182,36.124,1845,Financials,Regional Banks,Asia,Japan,Japan,,Kikuo Kato,http://www.forbes.com/companies/musashino-bank/,0.00327206289447459,0.199662162162162
Corporation Bank,0.629,3.44,0.0937,36.116,1846,Financials,Regional Banks,Asia,India,India,,Jai Garg,http://www.forbes.com/companies/corporation-bank/,0.00259441798648798,0.0272383720930233
PBF Energy,3.336,13.124,0.1464,6.105,1846,Energy,Oil & Gas Operations,North America,United States,New Jersey,New Jersey,Thomas Nimbley,http://www.forbes.com/companies/pbf-energy/,0.023980343980344,0.0111551356293813
Sysmex,13.632,2.075,0.2734,2.122,1848,Health Care,Medical Equipment & Supplies,Asia,Japan,Japan,,Hisashi Ietsugu,http://www.forbes.com/companies/sysmex/,0.128840716305372,0.131759036144578
Shanghai Industrial Holdings,2.534,2.54,0.3573,18.438,1849,Financials,Real Estate,Asia,China,China,,Jie Zhou,http://www.forbes.com/companies/shanghai-industrial-holdings/,0.019378457533355,0.140669291338583
Noble,2.821,3.352,0.5003,12.892,1850,Energy,Oil Services & Equipment,Europe,Switzerland,Switzerland,,David Williams,http://www.forbes.com/companies/noble/,0.0388070121005275,0.149254176610979
Varian Medical Systems,8.134,3.116,0.4072,3.727,1850,Health Care,Medical Equipment & Supplies,North America,United States,California,California,Dow Wilson,http://www.forbes.com/companies/varian-medical-systems/,0.109256774885967,0.130680359435173
Bank of Queensland,3.493,1.757,0.2468,35.599,1852,Financials,Regional Banks,Australia,Australia,Australia,,Jon Sutton,http://www.forbes.com/companies/bank-of-queensland/,0.00693277901064637,0.140466704610131
NH Investment & Securities,2.56,1.388,0.19,35.569,1853,Financials,Investment Services,Asia,South Korea,South Korea,,Won-Kyu Kim,http://www.forbes.com/companies/nh-investment-securities/,0.0053417301582839,0.136887608069164
SNC-Lavalin Group,5.581,7.371,0.316,7.679,1853,Industrials,Construction Services,North America,Canada,Canada,,Neil Bruce,http://www.forbes.com/companies/snc-lavalin-group/,0.0411511915614012,0.0428707095373762
Polaris Industries,6.495,4.722,0.4137,2.38,1855,Consumer Discretionary,Recreational Products,North America,United States,Minnesota,Minnesota,Scott Wine,http://www.forbes.com/companies/polaris-industries/,0.173823529411765,0.0876111817026684
Hanover Insurance Group,3.705,5.061,0.3315,14.008,1856,Financials,Property & Casualty Insurance,North America,United States,Massachusetts,Massachusetts,Frederick Eppinger,http://www.forbes.com/companies/hanover-insurance-group/,0.0236650485436893,0.0655008891523414
Coloplast,16.046,2.121,0.1378,1.574,1857,Health Care,Medical Equipment & Supplies,Europe,Denmark,Denmark,,Lars Rasmussen,http://www.forbes.com/companies/coloplast/,0.0875476493011436,0.064969354078265
Ryder System,3.607,6.572,0.304,11.763,1858,Financials,Rental & Leasing,North America,United States,Florida,Florida,Robert Sanchez,http://www.forbes.com/companies/ryder-system/,0.0258437473433648,0.0462568472306756
GS Engineering,1.734,9.341,0.023,11.092,1859,Industrials,Construction Services,Asia,South Korea,South Korea,,"Chang-Soo Huh,",http://www.forbes.com/companies/gs-engineering/,0.00207356653443924,0.00246226314099133
Murphy USA,2.38,12.79,0.1763,1.886,1859,Consumer Discretionary,Specialty Stores,North America,United States,Arkansas,Arkansas,R Clyde,http://www.forbes.com/companies/murphy-usa/,0.0934782608695652,0.0137842064112588
XPO Logistics,3.697,7.623,-0.2436,12.643,1859,,,North America,United States,Connecticut,Connecticut,Bradley Jacobs,http://www.forbes.com/companies/xpo-logistics/,-0.0192675788974136,-0.0319559228650138
Zhuzhou CSR Times Electric,6.979,2.229,0.4698,3.359,1859,Industrials,Electrical Equipment,Asia,China,China,,Ke Liu,http://www.forbes.com/companies/zhuzhou-csr-times-electric/,0.1398630544805,0.210767160161507
