Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
CVS Health,110.802,153.29,5.202,93.657,62,Consumer Staples,Drug Retail,North America,United States,Rhode Island,Rhode Island,Larry Merlo,http://www.forbes.com/companies/cvs-health/,0.0555430987539639,0.0339356774740688
Cisco Systems,141.654,49.589,10.333,112.642,63,Information Technology,Communications Equipment,North America,United States,California,California,Charles Robbins,http://www.forbes.com/companies/cisco-systems/,0.091733101329877,0.208372824618363
Itaú Unibanco Holding,50.476,50.919,7.7059,324.076,63,Financials,Regional Banks,South America,Brazil,Brazil,,Roberto Setúbal,http://www.forbes.com/companies/itau-unibanco-holding/,0.0237780644046458,0.151336436300791
China Minsheng Banking,49.268,42.359,7.3553,696.517,65,Financials,Regional Banks,Asia,China,China,,Qing Duan,http://www.forbes.com/companies/china-minsheng-banking/,0.0105601155463542,0.173641965107769
Prudential,53.392,63.106,3.9402,558.729,66,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Cheick Thiam,http://www.forbes.com/companies/prudential/,0.00705207712504631,0.0624378030615155
TD Bank Group,81.818,29.815,6.228,833.956,67,Financials,Major Banks,North America,Canada,Canada,,Bharat Masrani,http://www.forbes.com/companies/td-bank-group/,0.00746801989553406,0.208888143551903
General Electric,285.611,122.364,1.678,492.692,68,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Jeffrey Immelt,http://www.forbes.com/companies/general-electric/,0.00340577886387439,0.0137131836160962
Softbank,67.137,74.747,4.2778,178.708,69,Telecommunication Services,Telecommunications services,Asia,Japan,Japan,,Masayoshi Son,http://www.forbes.com/companies/softbank/,0.0239373726973611,0.0572303905173452
Sumitomo Mitsui Financial,48.165,39.618,5.7625,1558.335,70,Financials,Regional Banks,Asia,Japan,Japan,,Masayuki Oku,http://www.forbes.com/companies/sumitomo-mitsui-financial/,0.00369785700763956,0.145451562421122
Walt Disney,169.308,53.902,9.08,90.121,71,Consumer Discretionary,Broadcasting & Cable,North America,United States,California,California,Robert Iger,http://www.forbes.com/companies/walt-disney/,0.100753431497653,0.168453860710178
Westpac Banking Group,80.587,30.193,6.2684,570.984,72,Financials,Major Banks,Australia,Australia,Australia,,Brian Hartzer,http://www.forbes.com/companies/westpac-banking/,0.0109782410715537,0.20761103567052
Deutsche Telekom,81.762,76.768,3.6084,156.34,73,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.0230804656517846,0.0470039599833264
Honda Motor,51.09,118.094,4.4258,154.522,74,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takahiro Hachigo,http://www.forbes.com/companies/honda-motor/,0.0286418762376878,0.0374769251613122
Rosneft,51.119,80.751,5.7912,139.55,75,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Igor Sechin,http://www.forbes.com/companies/rosneft/,0.0414991042637048,0.0717167589255861
Boeing,85.321,96.114,5.172,94.408,76,Industrials,Aerospace & Defense,North America,United States,Illinois,Illinois,Dennis Muilenburg,http://www.forbes.com/companies/boeing/,0.0547834929243284,0.053811099319558
Goldman Sachs Group,72.964,32.792,4.374,861.395,77,Financials,Investment Services,North America,United States,New York,New York,Lloyd Blankfein,http://www.forbes.com/companies/goldman-sachs-group/,0.00507780983172644,0.133386191754086
Banco Bradesco,41.505,65.869,5.1461,257.544,78,Financials,Regional Banks,South America,Brazil,Brazil,,Luiz Trabuco Cappi,http://www.forbes.com/companies/banco-bradesco/,0.0199814400646103,0.0781262809515857
China Citic Bank,40.424,41.187,6.5597,788.84,79,Financials,Regional Banks,Asia,China,China,,Zhen Chang,http://www.forbes.com/companies/china-citic-bank/,0.00831562801074996,0.159266273338675
Roche Holding,222.178,50.001,9.2047,75.687,80,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Severin Schwan,http://www.forbes.com/companies/roche/,0.121615336847807,0.184090318193636
