Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
Volkswagen Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,119,261.5,12,446.9,19,http://www.forbes.com/companies/volkswagen-group/,0.0268516446632356,0.0458891013384321
Wal-Mart Stores,Consumer Discretionary,Discount Stores,North America,United States,247.9,476.5,16,204.8,20,http://www.forbes.com/companies/wal-mart-stores/,0.078125,0.0335781741867786
Gazprom,Energy,Oil & Gas Operations,Asia,Russia,88.8,164.6,39,397.2,21,http://www.forbes.com/companies/gazprom/,0.0981873111782477,0.236938031591738
Samsung Electronics,Information Technology,Semiconductors,Asia,South Korea,186.5,208.9,27.2,202.8,22,http://www.forbes.com/companies/samsung-electronics/,0.134122287968442,0.130205840114888
AT&T,Telecommunication Services,Telecommunications services,North America,United States,182.7,128.8,18.2,277.8,23,http://www.forbes.com/companies/att/,0.0655147588192945,0.141304347826087
BNP Paribas,Financials,Major Banks,Europe,France,98.6,123.2,6.4,2480.5,24,http://www.forbes.com/companies/bnp-paribas/,0.00258012497480347,0.051948051948052
Total,Energy,Oil & Gas Operations,Europe,France,149.8,227.9,11.2,239.1,25,http://www.forbes.com/companies/total/,0.0468423253868674,0.0491443615620886
Verizon Communications,Telecommunication Services,Telecommunications services,North America,United States,197.7,120.6,11.5,274.1,26,http://www.forbes.com/companies/verizon-communications/,0.041955490696826,0.0953565505804312
Allianz,Financials,Diversified Insurance,Europe,Germany,77.2,131.4,8,963.1,27,http://www.forbes.com/companies/allianz/,0.00830651022739072,0.060882800608828
China Mobile,Telecommunication Services,Telecommunications services,Asia,Hong Kong,184.6,102.5,19.8,192.8,28,http://www.forbes.com/companies/china-mobile/,0.102697095435685,0.193170731707317
Sinopec-China Petroleum,Energy,Oil & Gas Operations,Asia,China,94.7,445.3,10.9,228.4,29,http://www.forbes.com/companies/sinopec-china-petroleum/,0.047723292469352,0.0244778800808444
Petrobras,Energy,Oil & Gas Operations,South America,Brazil,86.8,141.2,10.9,319.2,30,http://www.forbes.com/companies/petrobras/,0.0341478696741855,0.0771954674220963
Daimler,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,102.9,156.6,9.1,232.2,31,http://www.forbes.com/companies/daimler/,0.0391903531438415,0.0581098339719029
Microsoft,Information Technology,Software & Programming,North America,United States,343.8,83.3,22.8,153.5,32,http://www.forbes.com/companies/microsoft/,0.148534201954397,0.273709483793517
AXA Group,Financials,Diversified Insurance,Europe,France,63.4,138.9,6,1018.9,33,http://www.forbes.com/companies/axa-group/,0.00588870350377859,0.0431965442764579
